Word,Repeat_amount
a,18
actual,26
another,1
awesome,1
beautiful,1
best,19
bike,20
birthday,19
boston,1
bright,1
buying,1
congratulations,38
day,19
days,26
dear,18
for,1
friend,38
good,18
great,18
guys,1
happened,36
hello,1
here,18
i,41
in,20
interested,1
interesting,18
is,1
just,1
left,26
london,18
luck,18
minsk,18
motorcycle,1
my,1
news,40
newsfeed,1
newstext,2
not,18
our,1
privatead,26
ps,5
regards,19
right,18
sasasa,1
say,1
sell,23
so,18
someone,1
something,36
still,18
text,1
this,19
to,43
today,18
trustme,1
until,26
wanna,1
want,41
warn,1
whatthe,1
wish,18
with,19
words,1
xasxas,1
yesterday,18
yet,1
you,18
your,38
